level_0,index,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term_Months,Credit_History,Property_Area,Loan_Status
0,0,1015,1.0,1,0.0,1,0.0,5720,0,110.0,360.0,1,0,1.0
1,1,1022,1.0,1,1.0,1,0.0,3076,1500,126.0,360.0,1,0,1.0
2,2,1031,1.0,1,2.0,1,0.0,5000,1800,208.0,360.0,1,0,1.0
3,3,1035,1.0,1,2.0,1,0.0,2340,2546,100.0,360.0,0,0,0.0
4,4,1051,1.0,0,0.0,0,0.0,3276,0,78.0,360.0,1,0,1.0
5,5,1054,1.0,1,0.0,0,1.0,2165,3422,152.0,360.0,1,0,1.0
6,6,1055,0.0,0,1.0,0,0.0,2226,0,59.0,360.0,1,1,1.0
7,7,1056,1.0,1,2.0,0,0.0,3881,0,147.0,360.0,0,2,0.0
8,8,1059,1.0,1,2.0,1,0.0,13633,0,280.0,240.0,1,0,1.0
9,9,1067,1.0,0,0.0,0,0.0,2400,2400,123.0,360.0,1,1,1.0
10,10,1078,1.0,0,0.0,0,0.0,3091,0,90.0,360.0,1,0,1.0
11,11,1082,1.0,1,1.0,1,0.0,2185,1516,162.0,360.0,1,1,1.0
12,12,1083,1.0,0,3.0,1,0.0,4166,0,40.0,180.0,0,0,0.0
13,13,1094,1.0,1,2.0,1,0.0,12173,0,166.0,360.0,0,1,0.0
14,14,1096,0.0,0,0.0,1,0.0,4666,0,124.0,360.0,1,1,1.0
15,15,1099,1.0,0,1.0,1,0.0,5667,0,131.0,360.0,1,0,1.0
16,16,1105,1.0,1,2.0,1,0.0,4583,2916,200.0,360.0,1,0,1.0
17,17,1107,1.0,1,3.0,1,0.0,3786,333,126.0,360.0,1,1,1.0
18,18,1108,1.0,1,0.0,1,0.0,9226,7916,300.0,360.0,1,0,1.0
19,19,1115,1.0,0,0.0,1,0.0,1300,3470,100.0,180.0,1,1,1.0
20,20,1121,1.0,1,1.0,0,0.0,1888,1620,48.0,360.0,1,0,1.0
21,21,1124,0.0,0,3.0,0,0.0,2083,0,28.0,180.0,1,0,1.0
22,22,1128,0.0,0,0.0,1,0.0,3909,0,101.0,360.0,1,0,1.0
23,23,1135,0.0,0,0.0,0,0.0,3765,0,125.0,360.0,1,0,1.0
24,24,1149,1.0,1,0.0,1,0.0,5400,4380,290.0,360.0,1,0,1.0
25,25,1153,1.0,0,0.0,1,0.0,0,24000,148.0,360.0,0,2,0.0
26,26,1163,1.0,1,2.0,1,0.0,4363,1250,140.0,360.0,0,0,0.0
27,27,1169,1.0,1,0.0,1,0.0,7500,3750,275.0,360.0,1,0,1.0
28,28,1174,1.0,1,0.0,1,0.0,3772,833,57.0,360.0,0,1,0.0
29,29,1176,1.0,0,0.0,1,0.0,2942,2382,125.0,180.0,1,0,1.0
30,30,1177,0.0,0,0.0,0,0.0,2478,0,75.0,360.0,1,1,1.0
31,31,1183,1.0,1,2.0,1,0.0,6250,820,192.0,360.0,1,0,1.0
32,32,1185,1.0,0,0.0,1,0.0,3268,1683,152.0,360.0,1,1,1.0
33,33,1187,1.0,1,0.0,1,0.0,2783,2708,158.0,360.0,1,0,1.0
34,34,1190,1.0,1,0.0,1,0.0,2740,1541,101.0,360.0,1,0,1.0
35,35,1203,1.0,0,0.0,1,0.0,3150,0,176.0,360.0,0,1,0.0
36,36,1208,1.0,1,2.0,1,0.0,7350,4029,185.0,180.0,1,0,1.0
37,37,1210,1.0,1,0.0,1,1.0,2267,2792,90.0,360.0,1,0,1.0
38,38,1211,1.0,0,0.0,1,1.0,5833,0,116.0,360.0,1,0,1.0
39,39,1219,1.0,0,0.0,1,0.0,3643,1963,138.0,360.0,1,0,1.0
40,40,1220,1.0,1,0.0,1,0.0,5629,818,100.0,360.0,1,0,1.0
41,41,1221,0.0,0,0.0,1,0.0,3644,0,110.0,360.0,1,0,1.0
42,42,1226,1.0,1,0.0,0,0.0,1750,2024,90.0,360.0,1,1,1.0
43,43,1230,1.0,0,0.0,1,0.0,6500,2600,200.0,360.0,1,1,1.0
44,44,1231,0.0,0,0.0,1,0.0,3666,0,84.0,360.0,1,0,1.0
45,47,1242,1.0,0,0.0,0,0.0,2356,1902,108.0,360.0,1,1,1.0
46,49,1270,1.0,1,3.0,0,1.0,8000,250,187.0,360.0,1,1,1.0
47,50,1284,1.0,1,1.0,1,0.0,2419,1707,124.0,360.0,1,0,1.0
48,51,1287,0.0,1,3.0,0,0.0,3500,833,120.0,360.0,1,1,1.0
49,52,1291,1.0,1,1.0,1,0.0,3500,3077,160.0,360.0,1,1,1.0
50,53,1298,1.0,1,2.0,1,0.0,4116,1000,30.0,180.0,1,0,1.0
51,54,1312,1.0,1,0.0,0,1.0,5293,0,92.0,360.0,1,0,1.0
52,55,1313,1.0,0,0.0,1,0.0,2750,0,130.0,360.0,0,0,0.0
53,56,1317,0.0,0,0.0,0,0.0,4402,0,130.0,360.0,1,2,0.0
54,57,1321,1.0,1,2.0,1,0.0,3613,3539,134.0,180.0,1,1,1.0
55,58,1323,0.0,1,2.0,1,0.0,2779,3664,176.0,360.0,0,1,0.0
56,59,1324,1.0,1,3.0,1,0.0,4720,0,90.0,180.0,1,1,1.0
